"","X.1","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X1","X2"
"1464",2216,"MSTRG.21110|LINC01115",41.419818211031,-1.76078153545038,0.393896888523549,-4.47015852816292,7.81616416179552e-06,0.000155907079548594,"MSTRG.21110","LINC01115"
"1467",2219,"MSTRG.9729|TESC",187.426294102017,-1.27425517806963,0.28515096893791,-4.46870365833157,7.86950648987601e-06,0.00015675886699662,"MSTRG.9729","TESC"
"1469",2223,"MSTRG.22430|CRACDL",3.18142104076809,-2.83889583929316,0.635582198411122,-4.46660690999536,7.94699568762349e-06,0.000158017590366322,"MSTRG.22430","CRACDL"
"1476",2236,"MSTRG.7431|ELMOD1",1068.58646091317,-1.64838228406229,0.369622011733318,-4.45964318069778,8.20962143296852e-06,0.000162290557504506,"MSTRG.7431","ELMOD1"
"1481",2244,"MSTRG.36911|ACTR3B",469.034369980181,-1.62812992626796,0.365334548071237,-4.45654519908829,8.32910461865482e-06,0.000164065544720936,"MSTRG.36911","ACTR3B"
"1483",2246,"MSTRG.26072|SYN3",9.35662203380739,-2.579954270597,0.579048321027796,-4.45550773036979,8.36948798377052e-06,0.000164714206526547,"MSTRG.26072","SYN3"
"1489",2254,"MSTRG.31813|TRIM36",534.808142104326,-1.90058260231876,0.426898104428796,-4.45207552481828,8.50442411874492e-06,0.000166775756387206,"MSTRG.31813","TRIM36"
"1498",2267,"ENSG00000224521",3.89892566896161,-2.79488277577784,0.628936775780527,-4.44382151498347,8.83749277121791e-06,0.000172313566596107,"ENSG00000224521","ENSG00000224521"
"1513",2294,"MSTRG.26366|MCAT",124.418793595182,-1.01763916088773,0.229877495944357,-4.426875961508,9.5607672961279e-06,0.000184221898876829,"MSTRG.26366","MCAT"
"1514",2296,"ENSG00000148357|HMCN2",11.1442161290359,-1.74171408307573,0.393573260253532,-4.42538723782645,9.62694341241021e-06,0.000185191487841039,"ENSG00000148357","HMCN2"
"1515",2297,"MSTRG.31255|PLK2",1024.83726038769,-1.32693075347225,0.299846634210315,-4.42536484348705,9.62794220873285e-06,0.000185191487841039,"MSTRG.31255","PLK2"
"1529",2318,"MSTRG.2806|STYXL2",24.4132452951467,-1.66300921238296,0.376414457841965,-4.41802693211418,9.96060116558293e-06,0.000189938952856383,"MSTRG.2806","STYXL2"
"1532",2321,"MSTRG.2097|LINC00622",67.0385350880818,-1.12526539083677,0.254759309499811,-4.41697456727328,1.00092001913138e-05,0.000190618986150992,"MSTRG.2097","LINC00622"
"1533",2322,"MSTRG.34337|MAN1A1",626.903168401157,-1.08508258076052,0.245673673051758,-4.41676377969859,1.00189617118805e-05,0.000190722715585075,"MSTRG.34337","MAN1A1"
"1534",2323,"MSTRG.5324|INA",3661.50986716879,-1.23829524054557,0.280386072043333,-4.4163935516533,1.00361288954845e-05,0.000190967270528715,"MSTRG.5324","INA"
"1536",2325,"MSTRG.34025|LINC02857",22.9788407175229,-1.61709944274767,0.366176761622257,-4.4161716750771,1.0046430597934e-05,0.000190990824028428,"MSTRG.34025","LINC02857"
"1541",2337,"MSTRG.23412|SLC39A10",774.344592733888,-2.99707116790716,0.679410776694607,-4.41127999542217,1.02761332117794e-05,0.000194362704418945,"MSTRG.23412","SLC39A10"
"1542",2338,"ENSG00000236403",5.81375688264872,-3.09546238449492,0.70176774893307,-4.41094990358434,1.02918129194842e-05,0.00019457601140592,"ENSG00000236403","ENSG00000236403"
"1544",2344,"MSTRG.37483|PNOC",11.5610941841606,-3.55663725233008,0.806929791308528,-4.40761673523367,1.04514273911031e-05,0.000197087881203728,"MSTRG.37483","PNOC"
"1545",2345,"MSTRG.23207|CHRNA1",39.8561326817612,-1.64421917172458,0.373087153043,-4.40706456471063,1.04780962159653e-05,0.000197506528331812,"MSTRG.23207","CHRNA1"
