miRNA,Targetted_mRNA
hsa-miR-3180-5p,RET
hsa-miR-3180-5p,NEFH
hsa-miR-3180-5p,MAS1
hsa-miR-3180-5p,POU3F1
hsa-miR-3180-5p,STXBP1
hsa-miR-3180-5p,SYP
hsa-miR-3180-5p,RASAL1
hsa-miR-3180-5p,SERPINI1
hsa-miR-3180-5p,NXPH3
hsa-miR-3180-5p,SEZ6L2
hsa-miR-3180-5p,YWHAG
hsa-miR-3180-5p,PAX7
hsa-miR-3180-5p,B3GNT4
hsa-miR-3180-5p,CCKBR
hsa-miR-3180-5p,BCL11A
hsa-miR-3180-5p,CACNB3
hsa-miR-3180-5p,LRRC38
hsa-miR-3180-5p,UNC13A
hsa-miR-3180-5p,ADGRA1
hsa-miR-3180-5p,EPHA10
hsa-miR-3180-5p,ITPR1
hsa-miR-3180-5p,MYO1H
hsa-miR-3180-5p,ANXA6
hsa-miR-3180-5p,RHOBTB2
hsa-miR-3180-5p,CELF6
hsa-miR-3180-5p,BEAN1
hsa-miR-3180-5p,GRB7
hsa-miR-4661-5p,CAMKK1
hsa-miR-4661-5p,GRM7
hsa-miR-4661-5p,NEFH
hsa-miR-4772-3p,nill
hsa-miR-4781-3p,nill
hsa-miR-5006-3p,SLC12A5
hsa-miR-5006-3p,NXPH3
hsa-miR-5006-3p,TMEM151B
hsa-miR-5006-3p,RHOBTB2
hsa-miR-5006-3p,TMEM200A
hsa-miR-5006-3p,OLFM1
hsa-miR-5006-3p,HTR6
hsa-miR-5006-3p,FBN3
hsa-miR-5006-3p,C6orf141
hsa-miR-5701,nill
hsa-miR-6505-3p,nill
hsa-miR-6754-3p,PRRT2
hsa-miR-6754-3p,RNF165
hsa-miR-6754-3p,GPR155
hsa-miR-6754-3p,ARPP21
hsa-miR-6754-3p,GRM1
hsa-miR-6754-3p,OLFM1
hsa-miR-6754-3p,MAP3K9
hsa-miR-6754-3p,C12orf43
hsa-miR-6754-3p,JPT1
hsa-miR-6754-3p,ZBTB8A
hsa-miR-6754-3p,HMCN2
hsa-miR-6754-3p,TOLLIP
hsa-miR-6754-3p,PITPNM3
hsa-miR-6754-3p,CAMKK1
hsa-miR-6754-3p,MCHR2
hsa-miR-6754-3p,UNC80
hsa-miR-6754-3p,ATCAY
hsa-miR-6754-3p,SEC16B
hsa-miR-6754-3p,ABCC12
hsa-miR-6754-3p,PANX2
hsa-miR-6754-3p,GPR78
hsa-miR-6754-3p,GRIN3A
hsa-miR-6754-3p,CDYL2
hsa-miR-6754-3p,TMEM130
hsa-miR-6754-3p,KLHL34
hsa-miR-6754-3p,TTBK2
hsa-miR-6754-3p,LYNX1
hsa-miR-6754-3p,NUDT14
hsa-miR-6754-3p,CABP7
hsa-miR-6754-3p,SERTM1
hsa-miR-6754-3p,NYAP2
hsa-miR-6754-3p,GRIP1
hsa-miR-6754-3p,PDZD7
hsa-miR-6754-3p,SV2B
hsa-miR-6754-3p,SYNJ1
hsa-miR-6754-3p,PAK3
hsa-miR-6754-3p,GPR162
hsa-miR-6754-3p,HUNK
hsa-miR-6754-3p,WDFY3
hsa-miR-6754-3p,TTC9
hsa-miR-6754-3p,TRIM58
hsa-miR-6754-3p,OSBPL3
hsa-miR-6754-3p,CENPF
hsa-miR-6754-3p,TTC22
hsa-miR-6754-3p,SLC12A5
hsa-miR-6754-3p,CEP126
hsa-miR-6754-3p,MARCHF4
hsa-miR-6754-3p,SLC7A14
hsa-miR-6754-3p,ADCY1
hsa-miR-6754-3p,ECM1
hsa-miR-6754-3p,GJB3
hsa-miR-6754-3p,AGMAT
